,0
0,"tensor(177.3015, dtype=torch.float64)"
1,"tensor(193.4177, dtype=torch.float64)"
2,"tensor(188.5946, dtype=torch.float64)"
3,"tensor(7.5682, dtype=torch.float64)"
4,"tensor(74.4779, dtype=torch.float64)"
5,"tensor(23.2682, dtype=torch.float64)"
6,"tensor(17.0127, dtype=torch.float64)"
7,"tensor(12.6518, dtype=torch.float64)"
8,"tensor(5.6202, dtype=torch.float64)"
9,"tensor(136.7995, dtype=torch.float64)"
10,"tensor(134.8045, dtype=torch.float64)"
11,"tensor(337.4178, dtype=torch.float64)"
12,"tensor(40.3164, dtype=torch.float64)"
13,"tensor(6.9807, dtype=torch.float64)"
14,"tensor(209.2838, dtype=torch.float64)"
15,"tensor(5., dtype=torch.float64)"
16,"tensor(234.7359, dtype=torch.float64)"
17,"tensor(13.7448, dtype=torch.float64)"
18,"tensor(227.2914, dtype=torch.float64)"
19,"tensor(46.6350, dtype=torch.float64)"
20,"tensor(108.0402, dtype=torch.float64)"
21,"tensor(37.0046, dtype=torch.float64)"
22,"tensor(151.8241, dtype=torch.float64)"
23,"tensor(355.6774, dtype=torch.float64)"
24,"tensor(117.3608, dtype=torch.float64)"
25,"tensor(327.3793, dtype=torch.float64)"
26,"tensor(59.8493, dtype=torch.float64)"
27,"tensor(29.2247, dtype=torch.float64)"
28,"tensor(87.2184, dtype=torch.float64)"
29,"tensor(108.0414, dtype=torch.float64)"
30,"tensor(30.6490, dtype=torch.float64)"
31,"tensor(100.8632, dtype=torch.float64)"
32,"tensor(120.2391, dtype=torch.float64)"
33,"tensor(88.3897, dtype=torch.float64)"
34,"tensor(125.4473, dtype=torch.float64)"
35,"tensor(5.8882, dtype=torch.float64)"
36,"tensor(21.7972, dtype=torch.float64)"
37,"tensor(109.5016, dtype=torch.float64)"
38,"tensor(91.4808, dtype=torch.float64)"
39,"tensor(31.0705, dtype=torch.float64)"
40,"tensor(160.4166, dtype=torch.float64)"
41,"tensor(170.6672, dtype=torch.float64)"
42,"tensor(32.1684, dtype=torch.float64)"
43,"tensor(56.9136, dtype=torch.float64)"
44,"tensor(46.6327, dtype=torch.float64)"
45,"tensor(369.2419, dtype=torch.float64)"
46,"tensor(121.5896, dtype=torch.float64)"
47,"tensor(105.3635, dtype=torch.float64)"
48,"tensor(142.6735, dtype=torch.float64)"
49,"tensor(98.2815, dtype=torch.float64)"
50,"tensor(76.0702, dtype=torch.float64)"
51,"tensor(82.7801, dtype=torch.float64)"
52,"tensor(256.2004, dtype=torch.float64)"
53,"tensor(106.7753, dtype=torch.float64)"
54,"tensor(142.9840, dtype=torch.float64)"
55,"tensor(88.6282, dtype=torch.float64)"
56,"tensor(186.0690, dtype=torch.float64)"
57,"tensor(67.4138, dtype=torch.float64)"
58,"tensor(67.6396, dtype=torch.float64)"
59,"tensor(103.0636, dtype=torch.float64)"
60,"tensor(124.9805, dtype=torch.float64)"
61,"tensor(114.6701, dtype=torch.float64)"
62,"tensor(723.0969, dtype=torch.float64)"
63,"tensor(104.9712, dtype=torch.float64)"
64,"tensor(279.4040, dtype=torch.float64)"
65,"tensor(217.6420, dtype=torch.float64)"
66,"tensor(110.4358, dtype=torch.float64)"
67,"tensor(192.5224, dtype=torch.float64)"
68,"tensor(90.0987, dtype=torch.float64)"
69,"tensor(83.0795, dtype=torch.float64)"
70,"tensor(151.5703, dtype=torch.float64)"
71,"tensor(208.0907, dtype=torch.float64)"
72,"tensor(98.9760, dtype=torch.float64)"
73,"tensor(174.1192, dtype=torch.float64)"
74,"tensor(88.3321, dtype=torch.float64)"
75,"tensor(36.1519, dtype=torch.float64)"
76,"tensor(91.3874, dtype=torch.float64)"
77,"tensor(143.1878, dtype=torch.float64)"
78,"tensor(5.8780, dtype=torch.float64)"
79,"tensor(13.6609, dtype=torch.float64)"
80,"tensor(12.9835, dtype=torch.float64)"
81,"tensor(5.5975, dtype=torch.float64)"
82,"tensor(105.3687, dtype=torch.float64)"
83,"tensor(191.2505, dtype=torch.float64)"
84,"tensor(101.7945, dtype=torch.float64)"
85,"tensor(723.0969, dtype=torch.float64)"
86,"tensor(183.0515, dtype=torch.float64)"
87,"tensor(65.1746, dtype=torch.float64)"
88,"tensor(47.0409, dtype=torch.float64)"
89,"tensor(511.5038, dtype=torch.float64)"
90,"tensor(130.9588, dtype=torch.float64)"
91,"tensor(49.2166, dtype=torch.float64)"
92,"tensor(9.1833, dtype=torch.float64)"
93,"tensor(548.8969, dtype=torch.float64)"
94,"tensor(110.1378, dtype=torch.float64)"
95,"tensor(16.2068, dtype=torch.float64)"
96,"tensor(28.4832, dtype=torch.float64)"
97,"tensor(177.0864, dtype=torch.float64)"
98,"tensor(88.8218, dtype=torch.float64)"
99,"tensor(320.1850, dtype=torch.float64)"
100,"tensor(72.9828, dtype=torch.float64)"
101,"tensor(179.1744, dtype=torch.float64)"
102,"tensor(164.8837, dtype=torch.float64)"
103,"tensor(628.1675, dtype=torch.float64)"
104,"tensor(44.8947, dtype=torch.float64)"
105,"tensor(164.6941, dtype=torch.float64)"
106,"tensor(103.7612, dtype=torch.float64)"
107,"tensor(25.2579, dtype=torch.float64)"
108,"tensor(106.0890, dtype=torch.float64)"
109,"tensor(29.6776, dtype=torch.float64)"
110,"tensor(133.2739, dtype=torch.float64)"
111,"tensor(22.6573, dtype=torch.float64)"
112,"tensor(124.7784, dtype=torch.float64)"
113,"tensor(8.7644, dtype=torch.float64)"
114,"tensor(517.0704, dtype=torch.float64)"
115,"tensor(204.5690, dtype=torch.float64)"
116,"tensor(149.1803, dtype=torch.float64)"
117,"tensor(13.1236, dtype=torch.float64)"
118,"tensor(64.9697, dtype=torch.float64)"
119,"tensor(15.9450, dtype=torch.float64)"
120,"tensor(93.9607, dtype=torch.float64)"
121,"tensor(116.7400, dtype=torch.float64)"
122,"tensor(291.0946, dtype=torch.float64)"
123,"tensor(205.4327, dtype=torch.float64)"
124,"tensor(6.9824, dtype=torch.float64)"
125,"tensor(53.6672, dtype=torch.float64)"
126,"tensor(109.0877, dtype=torch.float64)"
127,"tensor(190.2232, dtype=torch.float64)"
128,"tensor(71.5424, dtype=torch.float64)"
129,"tensor(109.1923, dtype=torch.float64)"
130,"tensor(673.9987, dtype=torch.float64)"
